毛利率,流通股,净资产,净利润,流值,每股未分配利润,PE(动),链接,同比,收益(三),负债率,总股本,code,名称,ROE,总值,市净率,净利率,营收,上市时间
14.47%,2.59亿,5.567,1.51亿,21.43亿,1.467元,9.96,http://quote.eastmoney.com/sz002637.html,82.73%,0.624,57.09%,4.23亿,002637,赞宇科技,6.86%,35.10亿,1.49,3.81%,49.05亿,2011-11-25
26.23%,9.79亿,2.506,7222万,31.54亿,0.126元,-,http://quote.eastmoney.com/sz002638.html,-28.67%,-0.895,20.62%,15.19亿,002638,勤上股份,1.40%,48.90亿,1.28,7.38%,9.60亿,2011-11-25
24.71%,5.16亿,3.337,1371万,46.42亿,0.247元,280.02,http://quote.eastmoney.com/sz002639.html,26.41%,0.024,40.32%,6.74亿,002639,雪人股份,0.61%,60.60亿,2.69,1.20%,8.97亿,2011-12-05
38.51%,10.05亿,4.955,8.28亿,133.6亿,1.368元,15.22,http://quote.eastmoney.com/sz002640.html,67.23%,0.655,40.31%,15.58亿,002640,跨境通,12.66%,207.1亿,2.68,5.25%,157.9亿,2011-12-08
23.83%,8.96亿,2.591,1.62亿,35.84亿,0.756元,13.72,http://quote.eastmoney.com/sz002641.html,24.90%,0.219,44.65%,11.23亿,002641,永高股份,5.88%,44.93亿,1.54,4.37%,37.17亿,2011-12-08
23.15%,5.16亿,4.226,423.1万,44.35亿,0.774元,-,http://quote.eastmoney.com/sz002642.html,57.23%,-2.054,31.08%,6.62亿,002642,荣之联,0.10%,56.90亿,2.04,0.20%,17.02亿,2011-12-20
38.61%,8.92亿,4.878,3.06亿,102.8亿,1.207元,17.68,http://quote.eastmoney.com/sz002643.html,1.34%,0.489,10.15%,9.09亿,002643,万润股份,7.37%,104.7亿,2.36,16.69%,18.50亿,2011-12-20
32.75%,5.11亿,2.823,5719万,44.78亿,0.977元,45.24,http://quote.eastmoney.com/sz002644.html,10.36%,0.145,40.42%,5.11亿,002644,佛慈制药,4.12%,44.78亿,3.11,14.13%,4.05亿,2011-12-22
21.31%,3.04亿,5.101,1.22亿,27.36亿,1.278元,15.24,http://quote.eastmoney.com/sz002645.html,39.42%,0.442,29.45%,3.56亿,002645,华宏科技,7.03%,32.01亿,1.76,8.84%,14.01亿,2011-12-20
65.92%,4.50亿,5.310,8681万,56.48亿,2.045元,38.77,http://quote.eastmoney.com/sz002646.html,-21.20%,0.243,13.32%,4.50亿,002646,青青稞酒,3.71%,56.48亿,2.36,8.68%,9.52亿,2011-12-22
