序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价
1841,HK6168,中国优通,1.15,-4.17,-0.05,0.06,115.00万,--,1.200,1.160,1.180,1.140
1842,HK1731,其利工业集团,0.92,-4.17,-0.04,0.29,321.60万,4.36,0.960,0.960,0.960,0.910
1843,HK2309,伯明翰体育,0.11,-4.20,-0.01,0.00,39.04万,--,0.119,0.109,0.117,0.109
1844,HK0179,德昌电机控股,22.60,-4.24,-1.00,0.12,106.05万,9.40,23.600,23.100,23.350,22.150
1845,HK0269,中国资源交通,0.11,-4.24,-0.01,0.15,1098.00万,--,0.118,0.114,0.118,0.100
1846,HK3878,ViconHoldings,2.25,-4.25,-0.10,0.03,10.40万,40.40,2.350,2.310,2.310,2.220
1847,HK0706,美丽中国控股,0.04,-4.25,-0.00,0.01,45.00万,--,0.047,0.046,0.046,0.045
1848,HK0638,建溢集团,2.25,-4.25,-0.10,0.09,40.60万,6.48,2.350,2.350,2.350,2.240
1849,HK1166,星凯控股,1.12,-4.27,-0.05,0.65,1536.25万,400.00,1.170,1.190,1.200,1.100
1850,HK6865,福莱特玻璃,1.12,-4.27,-0.05,0.41,184.20万,3.92,1.170,1.160,1.180,1.120
1851,HK3608,永盛新材料,2.68,-4.29,-0.12,0.31,123.00万,9.72,2.800,2.800,2.800,2.640
1852,HK2028,映美控股,0.89,-4.30,-0.04,0.06,36.00万,35.35,0.930,0.860,0.900,0.860
1853,HK1321,中国新城市,1.11,-4.31,-0.05,0.02,43.60万,3.43,1.160,1.160,1.160,1.090
1854,HK2289,创美药业,7.99,-4.31,-0.36,0.03,7500,16.08,8.350,8.360,8.360,7.990
1855,HK1576,齐鲁高速,2.20,-4.35,-0.10,0.25,272.00万,6.95,2.300,2.300,2.330,2.190
1856,HK1938,珠江钢管,0.66,-4.35,-0.03,0.00,1.10万,--,0.690,0.650,0.660,0.650
