code,exp2015,exp2016,exp2017,exp2018,income2015,income2016,income2017,income2018,net2015,net2016,net2017,net2018,sale2015,sale2016,sale2017,sale2018
AGCO,--_--,--_--,7310.00万_--,9090.00万_24.35%,17.03亿_--,15.59亿_-8.46%,16.28亿_4.43%,20.07亿_23.28%,--_--,--_--,7310.00万_--,9090.00万_24.35%,2.22亿_--,2.22亿_0.00%,2.36亿_6.31%,2.80亿_18.64%
AGE,0_0,0_0,169.60万_--,159.10万_-6.19%,0_0,0_0,26.70万_--,23.90万_-10.49%,0_0,0_0,169.60万_--,159.10万_-6.19%,0_0,0_0,138.40万_--,129.00万_-6.79%
AGEN,922.01万_--,2503.85万_171.56%,3264.00万_30.36%,2944.13万_-9.80%,395.33万_--,595.89万_50.73%,2695.58万_352.36%,163.60万_-93.93%,922.01万_--,2503.85万_171.56%,3264.00万_30.36%,2944.13万_-9.80%,548.71万_--,923.15万_68.24%,776.95万_-15.84%,892.76万_14.91%
AGFS,0_0,442.90万_--,329.70万_-25.56%,306.90万_-6.92%,0_0,2841.10万_--,3273.00万_15.20%,3835.10万_17.17%,0_0,442.90万_--,329.70万_-25.56%,306.90万_-6.92%,0_0,2956.50万_--,2687.60万_-9.10%,2725.00万_1.39%
AGG,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGGY,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGI,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0,0_0
AGIO,3244.30万_--,4403.80万_35.74%,6273.20万_42.45%,7822.40万_24.70%,3420.20万_--,3128.10万_-8.54%,1050.80万_-66.41%,876.20万_-16.62%,3244.30万_--,4403.80万_35.74%,6273.20万_42.45%,7822.40万_24.70%,695.40万_--,1083.70万_55.84%,1482.30万_36.78%,2455.00万_65.62%
AGN,0_0,4.03亿_--,7.60亿_88.59%,4.75亿_-37.50%,0_0,33.99亿_--,35.73亿_5.12%,36.72亿_2.77%,0_0,4.03亿_--,7.60亿_88.59%,4.75亿_-37.50%,0_0,26.86亿_--,29.21亿_8.75%,27.93亿_-4.38%
AGNC,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--,0_0,0_0,--_--,--_--
