code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_3,volume_6,year,year_rs
OFS,OFS Capital Corporation,13.090819999999999,0.902783,0.944937,4995000.0,3.1898,71,0.3100000000000005,0.1900000000000004,0.026820934247394485,0.016912302658537937,0.07238223150109274,12.547887323943664,-0.3865080187060677,618015.6666666666,1007373.6666666666,5,0.05732549843410411
WDC,西部数据,28.076403000000003,1.655939,2.272727,756000000.0,1.7,76,-6.033333333333331,-5.555366666666664,-0.08657422843181355,-0.07019695764468363,0.20847704955676896,72.1641447368421,-0.13960100585919033,71456416.66666667,83050325.66666667,6,0.14906753452849245
ERIE,伊瑞保险,28.165028000000003,6.672737,4.514464,79706000.0,0.3619,252,3.9599999999999986,2.0100000000000002,0.03324633813108154,0.017010531355740804,0.11237096077354976,59.115277777777784,-0.38236959131336284,482957.3333333333,781952.0,21,0.0952263416814592
MDLZ,亿滋,20.776192,2.466671,2.040316,325000000.0,-0.35,76,1.0033333333333327,0.4016666666666661,0.02438703074621609,0.010116337482927276,0.07493772881174655,38.10486842105263,-0.37237574407385565,112933914.66666667,179938735.0,6,0.06097985445849346
CVCO,卡寇工业,31.588593,4.62852,7.686319,19691000.0,0.6754,184,17.19999999999999,14.108333333333329,0.07875814543236155,0.07237337334872539,0.24466266820894922,58.752228260869565,-0.3334310223802164,817288.6666666666,1226112.6666666667,15,0.20768645314185533
APEI,美国公共教育,24.577409,1.94523,1.460691,6458000.0,0.6866,131,-3.0833333333333335,-1.758333333333334,-0.07295760070884533,-0.040907504722392025,0.3066998658346861,33.62209923664123,-0.38734872726529135,1777636.6666666667,2901547.3333333335,10,0.25595837736889704
FLOW,弗洛国际,25.089615,2.212577,1.9541950000000001,23400000.0,1.2941,37,1.7666666666666682,-0.043333333333331815,0.03971875757859532,0.00048201575504409666,0.16027327132028307,36.10567567567568,-0.42821752140467245,3012377.6666666665,5268398.0,3,0.10611890091127162
SPAR,Spartan Motors,21.624872,2.911361,0.682085,3740000.0,2.3274,252,0.016666666666666313,-0.3416666666666668,0.0016918858637275426,-0.019193611412022638,0.5936209893790075,5.835535714285713,-0.4357733227835826,3190407.3333333335,5654478.0,21,0.4260948740541224
IEA,"Infrastructure and Energy Alternatives, Inc.",0.0,-1.4760879999999998,-0.068497,4915000.0,0.3698,24,0.33333333333333276,0.2499999999999997,0.03624427682763106,0.02798602081836481,0.038114625949492185,9.784045833333334,-0.3969045174754607,1667427.3333333333,2764781.6666666665,2,0.015143715562238612
CTG,Computer Task Group Incorporate,83.264175,1.281775,0.0723,940000.0,1.1659,252,-0.7933333333333333,-0.4966666666666664,-0.1127284480860913,-0.06778377763698973,0.3848426058809955,9.345376984126986,-0.4780009725288739,803684.6666666666,1539628.6666666667,21,0.30469117285219244
FORD,福沃德工业,10.470989,1.331912,0.146118,235500.0,-0.5733,252,-0.023333333333333355,0.01776666666666667,-0.012100083724225977,0.013901480268745728,0.8238169707101495,2.850185714285715,-0.6718405685355271,2884159.3333333335,8788896.666666666,21,0.5873825055507784
WB,微博,36.980524,12.203108,2.124632,141000000.0,0.924,54,-3.976666666666669,-7.0100000000000025,-0.049020760225566375,-0.0705241263765466,0.33949395125405624,47.904074074074074,-0.27640936291959767,38046330.333333336,52579909.666666664,4,0.25080497488105996
ANGI,安吉斯里斯特,0.0,10.001093,-0.27517600000000003,23023000.0,921.92,83,2.7066666666666683,1.6400000000000008,0.16282997745687552,0.10254484335900123,0.5061485061417225,11.865963855421688,-0.12887012684332158,11701569.333333334,13432634.666666666,6,0.376652583532342
