code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
IIIN,Insteel工业,24.867938,3.310149,1.608899,199,41.13,14.85972362,0.25,1882324.5,3572438.384,16
DGI,DigitalGlobe Inc,107.500002,1.800695,0.32,112,41.15,26.81008929,12.27,9427049,8934210.714,9
EWO,奥地利ETF-iShares MSCI,3.525665,0.551994,6.45552,252,41.17,17.85401349,6.75,2741692.429,1267856.349,21
SCAP,AdvisorShares Trust,25.981012,0,1.58,26,41.1798,32.62671538,26.38,5258.384615,23430.84615,2
CHFN,Charter Financial Corp,21.33421,1.623358,1.162921,133,41.18,17.33548872,6.575,1207742.224,225221.2121,11
AMNB,美国国家银行,19.261998,1.69657,2.157097,252,41.2,22.49767857,11,226155.5952,76746.03175,21
PAAS,泛美白银,24.338462,1.650309,0.65,252,41.21,15.4728373,2.56,37340833.61,12389511.11,21
BOFI,BofI控股,16.072189,2.48469,2.356244,162,41.21,11.29699815,0.9975,15783257.02,2181372.84,13
IRM,爱恩铁山,54.669607,4.996563,0.656672,233,41.21,22.65111803,4.6741,35833794.4,16878320.84,19
CSRA,CSRA Inc.,17.836972,10.813874,2.311491,34,41.23,31.55852941,23.43,26513102.12,28787706.53,2
DSX,黛安娜船舶,0,0.743252,-4.839455,162,41.24,11.34345679,2.29,13440782.84,22674207.41,13
HEP,霍利能源,11.762939,6.908583,2.609042,170,41.26,26.55855882,10.005,2506544.376,1544374.118,14
LBY,Libbey Inc,0,3.597407,-3.855037,252,41.33,21.66845238,0.5,2528126.079,1468957.143,21
CRY,CryoLife Inc,0,4.612305,-0.151234,252,41.34,11.0629754,2.2,2883830.127,3693017.46,21
URR,Market Vectors Double Long Euro,0,0,0,124,41.36,25.22508548,15.39,24480.29032,45085.48387,10
IVZ,美国景顺集团,8.444986,1.124822,2.858501,136,41.42,27.68933824,11.43,67357134.09,77662398.53,11
TGH,Textainer Group Holdings Ltd,11.802821,0.714428,1.26241,131,41.45,23.45198473,5.91,5305912.227,2822995.385,10
EQBK,"Equity Bancshares, Inc.",23.729464,1.529994,1.76953,34,41.48,30.93970588,20.89,1220020.882,661540.1765,2
FUT,ProShares Managed Futures Strategy ETF,0,0,0,31,41.4999,40.24359355,39.5609,14565,22825.73333,2
MCRB,"Seres Therapeutics, Inc.",0,-25.329936,-2.255582,39,41.5,17.53435897,7.34,3765449.6,9124086.053,3
