2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days,2018-12-17_code,2018-12-17_days,2018-12-19_code,2018-12-19_days,2018-12-20_code,2018-12-20_days,2018-12-21_code,2018-12-21_days,2018-12-22_code,2018-12-22_days,2018-12-23_code,2018-12-23_days,2018-12-31_code,2018-12-31_days,2019-02-04_code,2019-02-04_days,2019-02-07_code,2019-02-07_days,2019-02-08_code,2019-02-08_days
NNDM,1.0,BFR,4.0,HWC,4.0,,,GUT,4.0,BZQ,4.0,,,,,,,,,,,,,,,,,KKR,2.0,HHC,0.0,HBIO,2.0,LIFE,3.0,,,,,,,,,,,,,,,NCTY,0.0,GSS,4,HTGC,3.0
GBNK,1.0,LCI,2.0,CATY,4.0,,,IPG,0.0,FAX,1.0,,,,,,,,,,,,,,,,,KW,2.0,IAE,0.0,HHC,1.0,MELI,3.0,,,,,,,,,,,,,,,NEAR,1.0,GSY,2,HUBS,1.0
ISBC,1.0,FRC,2.0,TRMK,4.0,,,HTA,1.0,FTF,3.0,,,,,,,,,,,,,,,,,MAR,2.0,ICLR,3.0,IAE,1.0,MHI,3.0,,,,,,,,,,,,,,,NEM,3.0,HEI,2,ICF,3.0
NBTB,1.0,NLSN,0.0,FFBC,4.0,,,SJIU,4.0,,,,,,,,,,,,,,,,,,,MCO,2.0,ICVT,1.0,ICLR,4.0,MKSI,4.0,,,,,,,,,,,,,,,NEO,3.0,HL,4,ICLR,1.0
BOKF,1.0,UHS,0.0,TCBK,4.0,,,EXTN,1.0,,,,,,,,,,,,,,,,,,,MKSI,0.0,INFY,1.0,ICVT,2.0,MSFT,4.0,,,,,,,,,,,,,,,NLY,4.0,HLT,0,ICVT,1.0
ONB,1.0,SVU,0.0,HAFC,3.0,,,CIM,1.0,,,,,,,,,,,,,,,,,,,MMS,2.0,INSM,3.0,INFY,2.0,MSI,3.0,,,,,,,,,,,,,,,NMIH,1.0,HMY,3,IOVA,1.0
WABC,1.0,ETP,0.0,CSBR,1.0,,,DX,3.0,,,,,,,,,,,,,,,,,,,MSFT,0.0,INSW,2.0,INSM,4.0,MTUM,4.0,,,,,,,,,,,,,,,NWSA,1.0,HTGC,2,IRR,2.0
FFIN,1.0,TMV,1.0,NBTB,4.0,,,OFG,1.0,,,,,,,,,,,,,,,,,,,MTUM,0.0,IPHI,3.0,INSW,3.0,MUA,0.0,,,,,,,,,,,,,,,PCMI,3.0,HUBS,0,ITI,1.0
UBSI,1.0,LH,0.0,PPBI,4.0,,,TCF,1.0,,,,,,,,,,,,,,,,,,,NCOM,0.0,IRWD,3.0,IPHI,4.0,MUC,0.0,,,,,,,,,,,,,,,PGLC,0.0,ICF,2,IVH,3.0
HWC,1.0,SQM,4.0,ANCX,1.0,,,CHMI,1.0,,,,,,,,,,,,,,,,,,,NIE,0.0,IYW,1.0,IRM,0.0,MUI,1.0,,,,,,,,,,,,,,,PML,1.0,ICLR,0,IWS,3.0
