,code,name,bvps,0,1,2
319,603458,勘设股份,16.23,40.7,65.25,0.603194103194103
320,300223,北京君正,5.62,22.13,41.21,0.8621780388612744
321,300047,天源迪科,7.1,15.36,30.33,0.974609375
322,002825,纳尔股份,4.09,14.3,16.1,0.12587412587412591
323,600308,华泰股份,6.27,4.68,16.56,2.5384615384615383
324,002048,宁波华翔,12.47,11.93,8.32,-0.3025984911986588
325,300113,顺网科技,4.65,17.73,78.1,3.4049633389734906
326,002635,安洁科技,9.32,16.35,26.5,0.620795107033639
327,300479,神思电子,2.57,14.91,45.28,2.0368879946344736
328,601258,庞大集团,2.01,1.81,34.38,17.994475138121548
329,300539,横河模具,1.82,8.75,9.69,0.10742857142857137
330,300374,恒通科技,5.9,11.7,30.86,1.6376068376068378
331,600677,XD航天通,6.22,8.05,11.6,0.4409937888198756
332,603789,星光农机,4.11,12.47,21.53,0.7265437048917401
333,600872,中炬高新,4.16,26.47,10.29,-0.6112580279561768
334,600779,水井坊,3.55,54.63,11.74,-0.7850997620355116
335,600794,保税科技,1.51,2.97,14.12,3.7542087542087534
336,002471,中超控股,1.49,2.96,21.65,6.314189189189189
337,600486,扬农化工,13.48,55.5,18.87,-0.6599999999999999
338,002921,联诚精密,8.26,35.92,20.12,-0.4398663697104677
339,300296,利亚德,2.8,12.6,16.11,0.2785714285714286
340,002466,天齐锂业,8.09,47.52,83.05,0.747685185185185
341,000996,中国中期,1.55,8.93,20.33,1.276595744680851
342,002896,中大力德,6.81,43.2,20.47,-0.5261574074074075
343,300589,江龙船艇,1.52,14.54,21.52,0.48005502063273736
344,600667,太极实业,2.89,7.47,8.94,0.1967871485943775
345,603025,大豪科技,3.15,18.35,28.5,0.5531335149863759
346,002232,启明信息,2.61,7.87,15.24,0.9364675984752223
347,300165,天瑞仪器,3.56,5.25,56.26,9.716190476190476
348,603396,金辰股份,11.19,32.28,53.44,0.6555142503097892
349,002680,长生生物,4.12,21.8,35.95,0.6490825688073395
350,600332,白云山,12.16,36.29,13.7,-0.6224855332047396
351,603918,金桥信息,2.9,15.52,15.05,-0.030283505154639102
352,603477,振静股份,3.37,14.81,18.94,0.27886563133018233
353,603026,石大胜华,8.05,22.05,9.37,-0.5750566893424037
354,603011,合锻智能,3.83,5.69,25.64,3.5061511423550082
355,300447,全信股份,4.9,12.53,32.95,1.629688747007183
356,000816,*ST慧业,2.14,1.52,11.66,6.671052631578948
357,002316,亚联发展,2.16,8.75,31.13,2.5577142857142854
358,002845,同兴达,5.03,18.69,25.33,0.355270197966827
359,600584,长电科技,6.74,16.43,12.23,-0.25562994522215454
360,300419,浩丰科技,4.1,6.5,73.49,10.306153846153846
361,300590,移为通信,4.84,21.05,73.93,2.512114014251782
362,002208,合肥城建,5.45,9.96,25.88,1.5983935742971884
363,300699,光威复材,7.27,45.99,71.59,0.5566427484235703
364,300189,神农基因,1.39,3.45,24.17,6.005797101449276
365,603578,三星新材,5.84,22.0,61.03,1.7740909090909092
366,300360,炬华科技,5.1,7.33,58.13,6.930422919508868
367,300103,达刚路机,2.82,7.73,41.95,4.4269081500646825
368,002511,中顺洁柔,2.44,8.9,50.41,4.664044943820224
369,002328,新朋股份,5.39,5.42,26.55,3.8985239852398528
370,002285,世联行,2.46,5.81,27.93,3.807228915662651
371,600160,巨化股份,4.1,6.98,11.18,0.6017191977077363
372,000338,潍柴动力,4.65,8.15,64.93,6.966871165644172
373,002205,国统股份,7.91,11.67,25.8,1.2107969151670952
374,002917,金奥博,5.22,32.31,32.7,0.01207056638811515
375,600004,白云机场,7.46,13.28,8.86,-0.33283132530120485
