code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_radio_3,grow_radio_6,grow_self_3,grow_self_6,max_price,max_price_radio,price,price_week_3,vol_radio,volume_3,volume_6,week_3_rs,week_6_rs,year
AIY,25.44,Apollo Investment Corp,63.599999,4.017516,0.4,13250000,-0.5396,0,0,20627000,1.5617,0,0,5833000,-0.4833,0,0,31787000,-0.2269,0,0,276,-0.004660355,0.003236894,-0.118466667,0.081666667,27.22,8%,25.04,25.17666667,-0.076502574,53046,57440.33333,-0.008526164,-0.002441578,5
AGM.A,73.58,联邦农业抵押贷款,10.383209,1.398148,7.086441,29636000,0.4363,0,0,25819000,0.1792,0,0,20006000,-0.3051,0,0,21782000,0.109,0,0,754,-0.041056946,0.001650584,-2.943333333,0.116666667,87.76,0.245897903,66.18,68.65666667,0.339437954,1414,1055.666667,-0.036983887,-0.007680828,14
AEUA,32.89,Anadarko Petroleum Corp,42.774281,2.035766,0.76892,17000000,1.0509,3168000000,0.3096,174000000,1.6327,3026000000,0.0442,1039000000,3.2987,3042000000,0.1804,-641000000,0.1419,2610000000,0.1595,174,0,0,0,0,51,36%,32.89,32.89,0.339437954,0,0,-0.003807968,-0.004697945,3
AED,25.72,Aegon NV,18.839509,1.884837,1.365216,246000000,-0.6103,0,0,246000000,-0.3505,0,0,967000000,0.5472,0,0,494000000,0.4402,0,0,672,-0.006849652,-0.009413316,-0.176666667,-0.246666667,26.74,0.050486163,25.39,25.61,0.440725437,177125.6667,122942,-0.009891598,-0.009513648,12
SUN,28.18,太阳石油,0,2.538966,-0.0404,68000000,1.3063,4541000000,0.6775,-315000000,-316,3708000000,0.3381,232000000,1.3966,4346000000,0.0776,138000000,2.0667,2516000000,0.1807,316,0.019840306,0.002677743,0.563333333,0.07,59.27,50%,29.83,29.20333333,0.239721496,1469066.667,1184997.333,0.019242481,-0.000239921,6
VAC,118.35,Marriott Vacations Worldwide,16.098931,5.221984,7.338686,10761000,-0.7767,357000000,0.0416,35981000,0.2901,319000000,0.0676,108000000,1.1684,334000000,-0.1602,40762000,0.5206,339000000,0.2313,361,-0.036309411,-0.027839469,-4.143333333,-3.393333333,151.85,33%,101.94,110.5633333,-0.458616124,2797254.333,5166859.333,-0.039904653,-0.03355113,6
DUKB,24.9,Duke Energy Corporation,0,0,0,502000000,-0.2714,0,0,622000000,-0.1325,0,0,703000000,4.1667,0,0,955000000,-0.1914,0,0,3,-0.036309411,-0.027839469,-4.143333333,-3.393333333,25.01,6%,23.62,24.46,-0.458616124,2797254.333,5166859.333,-0.039904653,-0.03355113,0
KKR,28.16,KKR & Co L.P.,12.097726,1.885483,2.349202,1566000000,80%,0,0%,603000000,-24%,0,0%,515000000,0.1116,0,0,379000000,-0.6113,0,0,430,-1%,1%,-0.256666667,0.156666667,28.25,5%,26.97,27.49666667,121%,45140364.33,20429428.67,-1%,1%,8
BLL,44.43,波尔,34.402896,3.925047,1.290153,120000000,0.2,3101000000,0.0862,125000000,0.7857,2785000000,0.1262,159000000,2,2747000000,0.0884,51000000,0.5,2908000000,0.0567,754,0.010726356,0.023633104,0.473333333,0.993333333,45.93,0,45.93,44.83,0.436498117,15744981.33,10960669.67,0.00980184,0.019524383,14
LNT,43.01,美国联合能源,20.597924,2.358288,2.093172,100000000,0.0647,0,0,121000000,0.2042,0,0,93800000,0.496,0,0,169000000,0.3146,0,0,754,-0.000974135,0.003968471,-0.053333333,0.17,44.94,0.029595016,43.61,43.13666667,0.705157857,7690107.333,4509909.333,-0.005316661,0.000337163,14
