code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
ANIP,"ANI Pharmaceuticals, Inc.",9733.056119,3.58476,0.005769,3.58%,5.59%,95.31%,26.91%
DMLP,多尔切斯特,12.685851,6.702071,1.462259,93.68%,68.17%,28.64%,28.70%
AAPL,苹果,19.87048,9.298589,11.137124,32.14%,17.30%,25.32%,15.58%
EGLE,伊格尔散货航运,0,0.755959,-0.331021,158.60%,39.73%,100.48%,73.09%
NSIT,Insight Enterprises,15.803565,2.093203,3.385312,27.88%,9.08%,136.46%,19.31%
BCOR,Blucora,22.929261,2.606111,1.519892,910.26%,13.43%,48.30%,12.93%
EXPD,康捷国际物流,23.500289,6.901455,3.183365,29.60%,17.06%,45.56%,20.01%
MPWR,Monolithic Power Systems,75.687409,10.811255,1.955279,61.22%,24.57%,50.97%,28.68%
RICK,Rick’s Cabaret International,13.527418,1.917569,2.279075,40.44%,13.20%,24.97%,18.84%
ICHR,Ichor Holdings Ltd.,7.179086,2.212428,3.064457,184.38%,55.87%,30.23%,73.52%
SIFY,Sify Technologies Limited,14.495173,0.027587,0.113831,15.52%,2.81%,41.63%,15.80%
EGOV,NIC Inc,19.048087,5.606301,0.855729,33.22%,8.41%,10.89%,4.27%
NSSC,NAPCO Security Technologies,37.826592,4.542516,0.407121,14.74%,6.14%,92.12%,6.69%
ERI,Eldorado Resorts Inc,18.062332,3.518794,2.51075,179.66%,21.51%,2106.88%,119.92%
SBLK,Star Bulk Carriers Corp,20.387065,0.953625,0.59008,204.37%,68.70%,162.07%,86.63%
ENTA,Enanta Pharmaceuticals Inc.,20.777067,4.720071,4.231107,340.78%,662.38%,332.84%,391.67%
CRVL,CorVel Corp,28.799543,6.135587,2.052116,34.22%,9.29%,12.16%,7.46%
EML,Eastern Company ,21.572502,1.964232,1.344304,122.21%,4.85%,104.34%,64.93%
SHPG,Shire plc,10.434823,1.369322,15.936063,156.14%,4.64%,46.83%,5.41%
ALTR,Altair Engineering Inc.,0,14.015842,-1.622536,120.88%,17.17%,279.16%,19.12%
XLNX,赛灵思,35.565286,8.42086,2.170656,20.86%,13.53%,7.97%,10.40%
ORBK,奥宝科技,18.537468,3.020758,3.29333,45.26%,26.99%,102.29%,33.52%
KFRC,K力,25.040384,6.891062,1.673297,46.02%,5.38%,55.46%,3.68%
IRBT,iRobot Corp.,50.006624,6.186151,2.067526,32.49%,23.57%,24.71%,28.85%
OPRA,Opera,222.544086,2.084204,0.051091,390.51%,50.35%,4039.88%,54.84%
NANO,耐诺,19.354085,3.472921,2.070364,113.26%,37.53%,206.07%,38.77%
IART,英特格拉生命科学,68.986231,3.904783,0.892207,4.99%,29.78%,71.91%,38.06%
LECO,林肯电气控股,23.070004,6.322035,3.964022,12.27%,26.03%,8.90%,30.44%
CLUB,Town Sports International Holdin,23.287132,-3.111286,0.35642,246.59%,12.34%,138.47%,8.11%
IDSA,美国工业服务,54.578816,1.572848,0.043057,311.41%,22.42%,113.28%,12.65%
AMED,阿米斯医疗,57.77474,9.516784,2.110784,640.58%,9.78%,79.75%,9.49%
LKQ,LKQ Corporation,18.547685,2.242996,1.794294,4.61%,23.28%,12.10%,16.13%
HEES,HE设备服务,9.337441,5.093967,3.506314,110.28%,24.70%,75.84%,14.76%
MLNX,迈勒罗斯科技,71.007274,3.451562,1.066088,306.81%,26.66%,409.07%,33.05%
CENT,Central Garden & Pet Company,17.329774,2.800217,2.30355,26.29%,14.51%,29.84%,7.57%
CAMT,康特科技,14.046262,3.61201,0.628637,211.71%,34.30%,7.12%,28.98%
LASR,nLIGHT,0,5.527778,-5.165334,1721.25%,49.16%,340.40%,42.09%
AXTI,AXT Inc,19.703316,1.531426,0.370496,153.11%,15.13%,650.59%,18.45%
HNNA,Hennessy Advisors Inc,5.292873,1.58547,2.609169,6.52%,2.95%,25.55%,5.82%
STLD,Steel Dynamics,10.567642,2.926846,4.420097,137.06%,29.27%,13.49%,9.95%
ULH,"Universal Logistics Holdings, Inc.",20.6107,5.258368,1.73211,545.09%,19.90%,141.64%,17.81%
