code,net2017_1,net2017_2,net2017_3,net2017_4,net2018_1,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601857,5699.0,12674.0,17362.0,22793.0,10150.0,中国石油,石油开采,北京,34.85,1619.22,1830.21,239788704.0,45228100.0,68572304.0,12863800.0,0.7,0.055,6.56,1.18,20071105,71744000.0,3.92,9.95,78.1,20.61,1.87,536752.0
000976,17.1211,135.7556,220.7349,493.9898,21.4093,华铁股份,运输设备,广东,100.62,5.87,15.96,491134.81,206356.45,17094.06,268103.25,1.68,0.013000000000000001,2.58,2.1,20000601,-23974.45,-0.15,-41.67,25.05,29.73,10.45,33000.0
300099,7.8412,6.3411,23.3661,101.6441,2.9121,精准信息,电器仪表,山东,284.42,3.92,6.69,190603.63,99030.02,20280.02,77660.56,1.16,0.004,2.59,1.91,20100806,24042.2,0.36,-39.37,-62.86,48.82,10.6,30786.0
000564,133.7749,344.0603,1033.4667,1414.5209,186.9095,供销大集,百货,陕西,31.74,18.88,60.08,5618148.5,3016699.25,521642.0,2441746.5,4.06,0.031,5.09,0.78,19940110,-40838.03,-0.07,-20.05,1.4,17.21,3.86,62039.0
000573,8.086,69.6288,56.2063,35.4654,-12.1343,粤宏远A,区域地产,广东,0.0,6.22,6.48,327221.78,241696.77,12109.95,60865.9,0.94,-0.019,2.58,1.36,19940815,26990.85,0.42,-10.0,-250.06,20.09,-19.0,53591.0
300260,3.1563,12.4936,14.6853,21.581,5.6762,新莱应材,机械基件,江苏,186.78,1.37,2.02,124034.76,81136.05,30817.53,30663.49,1.52,0.027999999999999997,3.37,6.23,20110906,17064.59,0.85,13.02,79.83,23.53,3.41,5641.0
300631,2.6249,8.2905,25.6713,45.0383,3.0811,久吾高科,环境保护,江苏,175.79,0.71,1.03,78357.4,62496.16,11194.5,14187.5,1.38,0.03,5.69,3.71,20170323,31034.99,3.02,8.67,17.38,43.24,6.7,10317.0
000753,9.9119,11.4134,17.3669,85.0699,26.9958,漳州发展,汽车服务,福建,28.56,8.84,9.91,498439.41,340321.41,41886.51,65842.8,0.66,0.027000000000000003,2.21,1.41,19970626,48903.09,0.49,1.23,172.36,16.94,3.98,75234.0
002578,6.7410000000000005,12.9311,22.7144,38.3304,4.0298,闽发铝业,铝,福建,229.27,5.48,9.88,169248.22,79959.88,59036.88,22132.25,0.22,0.004,1.51,2.48,20110428,24197.92,0.24,9.51,-40.22,6.86,1.69,37298.0
000752,3.6459,7.0111,9.691,9.5237,3.3522,西藏发展,啤酒,西藏,171.14,2.64,2.64,127180.57,54959.76,13791.99,2405.95,0.09,0.013000000000000001,3.0,2.9,19970625,43503.84,1.65,-2.39,-8.06,23.38,3.68,38421.0
300353,9.6711,43.5009,75.1534,126.6081,,东土科技,通信设备,北京,127.04,3.51,5.17,303030.03,123868.72,13013.32,135557.56,2.62,0.024,4.31,2.85,20120927,32766.28,0.63,34.3,29.17,48.03,7.26,56371.0
600292,22.5444,30.1355,93.0108,108.6774,23.9417,远达环保,环境保护,重庆,49.9,7.81,7.81,901204.19,366826.75,385561.0,298916.06,3.83,0.031,6.24,0.98,20001101,91633.77,1.17,11.08,8.92,19.98,3.37,50421.0
002395,3.9027,11.4554,8.6117,13.0895,2.2502,双象股份,塑料,江苏,284.09,1.79,1.79,136371.77,84604.96,26884.7,42731.48,2.39,0.013000000000000001,4.69,3.05,20100429,20127.63,1.13,14.52,-42.35,13.28,0.79,16843.0
000597,10.8754,39.6947,79.8609,118.9953,52.2248,东北制药,化学制药,辽宁,36.54,4.73,5.7,1132743.63,630925.44,306209.91,177903.94,3.12,0.11,5.24,2.56,19960523,13207.12,0.23,36.39,380.21,40.51,2.64,34733.0
300048,11.3995,43.9912,50.1887,67.6033,6.747000000000001,合康新能,电气设备,北京,119.38,9.75,11.27,459541.84,243184.42,130969.97,86231.7,0.77,0.006,2.21,1.29,20100120,49218.78,0.44,18.22,-40.81,26.64,2.48,47279.0
600166,87.1471,101.62700000000001,138.3307,111.9249,-603.7106,福田汽车,汽车整车,北京,0.0,66.7,66.7,6631235.5,3206590.5,1286836.88,783993.44,1.18,-0.091,2.76,0.73,19980602,169686.47,0.25,-14.22,-792.75,13.11,-6.41,180000.0
300112,3.3039,10.9237,44.0228,44.365,4.5323,万讯自控,电器仪表,深圳,132.41,1.65,2.86,116792.01,62207.85,19582.59,48048.18,1.68,0.016,3.28,2.56,20100827,18040.05,0.63,11.42,37.18,53.47,4.91,17467.0
300466,5.0819,8.3045,22.3219,25.554000000000002,5.6959,赛摩电气,电器仪表,江苏,182.68,2.76,5.53,178028.73,73148.81,18101.89,61303.11,1.11,0.01,2.54,2.96,20150528,21630.65,0.39,16.86,12.08,43.91,7.08,31002.0
002209,2.7747,-8.9761,-10.8113,20.1782,1.6435,达意隆,轻工机械,广东,259.6,1.91,1.95,160536.84,112471.47,38372.98,22323.7,1.14,0.008,3.26,2.68,20080130,18455.28,0.95,21.92,-40.77,24.47,0.65,14202.0
600892,7.6725,34.7968,93.7316,300.1156,6.9683,大晟文化,影视音像,深圳,166.8,2.52,5.59,272715.19,96498.34,878.84,115622.05,2.07,0.012,3.53,2.35,19960315,25253.67,0.45,64.22,-9.18,91.46,13.6,12685.0
600969,14.957,49.5367,72.2222,30.1959,17.4668,郴电国际,水力发电,湖南,34.22,3.7,3.7,1278500.63,392709.0,508192.59,257206.59,6.95,0.047,9.27,0.7,20040408,52242.62,1.41,18.18,16.78,13.19,2.52,18959.0
300062,3.9965,9.4098,11.2787,-69.9793,1.9534,中能电气,电气设备,福建,227.06,1.89,3.08,217223.55,138694.52,50693.53,24268.85,0.79,0.006,2.6,2.22,20100319,22329.32,0.72,22.46,-51.13,34.07,1.21,21783.0
600157,106.6905,254.6823,411.602,602.3459,510.5295,永泰能源,煤炭开采,山西,10.16,124.26,124.26,10722621.0,1902436.63,2722371.75,931778.0,0.75,0.040999999999999995,1.99,0.84,19980513,284216.69,0.23,-12.19,378.51,24.87,10.94,222235.0
603366,16.82,76.1015,81.6676,54.7688,-16.9806,日出东方,家用电器,江苏,0.0,8.0,8.0,598558.5,200217.25,122073.65,180837.0,2.26,-0.021,4.45,1.05,20120521,75334.09,0.94,60.25,-200.95,38.82,-2.76,40561.0
600783,16.7162,188.425,246.0239,43.1507,27.3423,鲁信创投,矿物制品,山东,67.58,7.44,7.44,599731.38,128392.36,13598.55,110538.42,1.49,0.037000000000000005,4.82,2.06,19961225,154534.5,2.08,5.42,63.57,25.87,59.86,39509.0
300010,23.8487,34.9611,65.4826,202.7822,17.7902,立思辰,软件服务,北京,118.76,6.31,8.73,833578.56,312649.56,28357.74,378074.25,4.33,0.02,6.3,1.54,20091030,86596.31,0.99,-15.73,-25.4,44.98,6.9,48449.0
600051,8.6312,35.9505,103.1906,481.0433,2.8777,宁波联合,综合类,浙江,174.21,3.11,3.11,685280.44,465260.56,73528.95,14729.86,0.47,0.009000000000000001,7.65,0.84,19970410,132343.94,4.26,43.64,-66.66,11.6,0.39,24217.0
002611,6.7173,134.4311,204.6374,490.4983,11.9177,东方精工,轻工机械,广东,183.98,10.28,18.39,1265943.0,675448.06,65912.53,564433.88,3.07,0.006,4.19,1.14,20110830,82092.56,0.45,225.72,77.42,16.94,1.4,25357.0
002494,9.0006,11.132,16.2776,-75.4465,2.5753,华斯股份,服饰,河北,254.14,2.95,3.86,266242.25,128447.75,42881.7,124963.86,3.24,0.006999999999999999,4.96,1.37,20101102,23171.76,0.6,-13.75,-71.39,33.05,2.39,52309.0
603878,8.7489,59.5071,92.865,127.82700000000001,32.3556,武进不锈,钢加工,江苏,22.23,1.01,2.04,267839.34,208465.97,42639.73,106843.51,5.23,0.16,10.17,1.38,20161219,69634.17,3.41,70.88,269.82,16.01,8.2,22014.0
300688,0.7759,15.2681,21.6145,47.1728,4.499,创业黑马,综合类,北京,199.78,0.17,0.68,44822.05,43581.56,399.16,21630.93,3.18,0.066,5.6,9.44,20170810,9141.45,1.34,7.61,479.87,53.73,17.16,16666.0
000042,25.8583,151.3247,244.5834,615.3632,266.2848,中洲控股,全国地产,深圳,10.2,4.88,6.65,4460107.0,3884827.25,136030.61,250119.42,3.76,0.401,10.0,1.63,19940921,302327.78,4.55,39.48,929.79,51.95,17.48,13109.0
600811,85.4617,403.7872,490.0265,769.0303,166.3667,东方集团,综合类,黑龙江,24.0,32.73,37.15,4947342.0,2914804.5,80194.4,851629.0,2.29,0.045,5.38,0.8,19940106,525383.38,1.41,35.09,94.67,1.99,9.55,87465.0
