change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
0.000,0.00%,0.0,0,3,24.350,23.13亿,2313169645.0,24.290,24.350,flat,0,flat,CTV,204806,Qwest Corp.,us,Qwest Corp.,0,92.85万,3.81万,-1
0.000,0.00%,0.0,0,4,36.410,1.82亿,182050000.0,36.210,36.410,flat,0,flat,CIL,204812,VictoryShares International Vol Wtd ETF,us,VictoryShare,0,0,24,-1
0.000,0.00%,4.122,0,3,23.950,2.17亿,216606290.8,0.000,23.950,flat,0,flat,AOI,204891,第一联盟国际公司,us,第一联盟,0,0,0,-1
0.000,0.00%,0.0,0,3,3.030,365.02万,3650241.0,3.030,3.030,flat,0,flat,DRAM,204905,达泰莱,us,达泰莱,0,0,0,-1
0.000,0.00%,0.0,0,3,0.204,267.49万,2674855.84,0.000,0.204,flat,0,flat,INVT,204974,"Inventergy Global, Inc.",us,Inventergy G,0,0,0,-1
0.000,0.00%,0.0,0,3,13.950,1.97亿,197435745.0,0.000,13.950,flat,0,flat,SPP,205028,Sappi Ltd ADS,us,Sappi Ltd AD,0,0,0,-1
0.000,0.00%,20.016,0,3,24.420,22.25亿,2224662000.0,0.000,24.420,flat,0,flat,CVG,205103,肯沃基,us,肯沃基,0,0,0,-1
0.000,0.00%,7.472,0,3,27.500,4.36亿,436342500.0,0.000,27.500,flat,0,flat,PERY,205124,佩里埃利斯国际,us,佩里埃利,1,0,0,-1
0.000,0.00%,0.0,0,3,12.540,25.32亿,2531603628.18,12.530,12.540,flat,0,flat,NAD,205126,NAD股息市政基金,us,NAD股息市,0,453.62万,36.20万,-1
0.000,0.00%,1.579,0,3,4.850,4579.61万,45796125.0,4.850,4.850,flat,0,flat,CCUR,205205,"CCUR Holdings, Inc.",us,CCUR Holding,0,0,0,-1
0.000,0.00%,0.0,0,3,9.410,1.22亿,121727440.06,9.400,9.410,flat,0,flat,PCF,205210,普特南高收入债券基金,us,普特南高,0,14.32万,1.52万,-1
0.000,0.00%,16.084,0,3,15.280,6.95亿,695132046.8,15.230,15.280,flat,0,flat,ORIT,205219,Oritani Financial Corp.,us,Oritani Fina,0,476.80万,31.18万,-1
0.000,0.00%,408.333,0,3,12.250,6275.92万,62759200.0,12.250,12.250,flat,0,flat,PFBX,205241,Peoples Financial Corp. (Mississippi),us,Peoples Fina,0,0,0,-1
0.000,0.00%,10.4,0,3,12.065,30.20亿,3019869500.0,0.000,12.065,flat,0,flat,BWP,205251,Boardwalk Pipeline Partners LP,us,Boardwalk Pi,0,0,0,-1
0.000,0.00%,0.0,0,3,4.700,1.48亿,148106898.2,4.720,4.700,flat,0,flat,CXE,205329,MFS市政基金,us,MFS市政基,0,19.17万,4.08万,-1
0.000,0.00%,0.0,0,3,12.350,4847.24万,48472440.9,12.350,12.350,flat,0,flat,NXN,205340,Nuveen New York Select Tax-Free Income Portfolio,us,Nuveen New Y,0,4.73万,3827,-1
0.000,0.00%,28.0,0,3,15.400,9270.68万,92706752.6,15.300,15.400,flat,0,flat,LSBK,205367,莱克肖尔万通金控,us,莱克肖尔,0,734.4,48,-1
0.000,0.00%,0.0,0,3,12.720,4.58亿,458018083.92,12.740,12.720,flat,0,flat,MUA,205371,黑岩多资产投资,us,黑岩多资,0,93.87万,7.38万,-1
0.000,0.00%,0.0,0,3,9.230,19.09亿,1909460394.27,9.220,9.230,flat,0,flat,NUV,205452,纽文市政价值基金,us,纽文市政,0,347.03万,37.62万,-1
0.000,0.00%,20.597,0,3,40.990,34.02亿,3401693368.28,0.000,40.990,flat,0,flat,SYNT,205458,Syntel,us,Syntel,0,0,0,-1
0.000,0.00%,27.735,0,3,14.700,9774.31万,97743093.0,14.744,14.700,flat,0,flat,HFBC,205470,HopFed银行,us,HopFed银行,0,9.23万,6403,-1
0.000,0.00%,3.948,0,3,3.475,9834.04万,98340415.0,0.000,3.475,flat,0,flat,CGI,205474,萨拉东,us,萨拉东,1,0,0,-1
0.000,0.00%,41.269,0,3,58.850,17.28亿,1727853655.0,58.850,58.850,flat,0,flat,AGII,205489,阿尔戈国际控股集团有限公司,us,阿尔戈国,0,0,0,-1
0.000,0.00%,15.831,0,3,14.090,3.91亿,390987355.2,14.040,14.090,flat,0,flat,LNDC,205491,Landec Corp.,us,Landec Corp.,0,43.62万,3.10万,-1
0.000,0.00%,55.2,0,3,1.380,7124.25万,71242500.0,0.000,1.380,flat,0,flat,ZX,205502,正兴集团,us,正兴集团,1,0,0,-1
0.000,0.00%,0.0,0,3,11.750,1.93亿,192917457.25,11.730,11.750,flat,0,flat,NNC,205514,北卡纽文市保基金,us,北卡纽文,0,193.15万,16.45万,-1
0.000,0.00%,0.0,0,3,0.814,3356.50万,33565045.8,0.000,0.814,flat,0,flat,FAC,205528,First Acceptance Corp.,us,First Accept,0,0,0,-1
0.000,0.00%,0.0,0,3,11.530,6685.43万,66854295.23,0.000,11.530,flat,0,flat,MSP,205530,Madison Strategic Sector Premium Fund,us,Madison Stra,0,0,0,-1
0.000,0.00%,0.0,0,3,0.377,1118.64万,11186361.862,0.000,0.377,flat,0,flat,CIE,205546,科博尔特能源,us,科博尔特,1,0,0,-1
0.000,0.00%,0.0,0,3,4.760,878.30万,8782961.6,4.760,4.760,flat,0,flat,RELV,205575,"Reliv' International, Inc.",us,Reliv' Inter,0,152.32,32,-1
