name,business_income_2017_1,business_income_2017_2,business_income_2017_3,business_income_2017_4,business_income_2018_1,business_income_2018_2,business_income_2018_3,business_income_2018_4,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
瑞康医药,4978.7551,10393.3705,16653.2702,23293.6205,7129.3515,15507.4703,24555.8486,,医药商业,山东,10.29,10.85,15.05,3474251.5,2781453.5,156079.42,395984.13,2.63,0.5539999999999999,5.64,1.35,20110610.0,293159.5,1.95,47.45,15.38,19.72,3.39,29185.0
盘江股份,1452.2073,2906.6498,4351.1453,6081.3109,1486.1536,2952.8755,4443.6571,,煤炭开采,贵州,9.43,16.55,16.55,1258305.25,448779.31,271356.03,242938.8,1.47,0.439,4.14,1.33,20010531.0,164634.77,0.99,2.13,12.76,34.16,16.35,51577.0
天神娱乐,639.6332,1589.1654,2237.1523,3101.375,741.8708,1234.1571,1868.3911,,互联网,辽宁,15.8,6.89,9.32,1332939.88,228055.0,2885.96,588155.81,6.31,0.27,10.11,0.56,20100209.0,235473.45,2.53,-16.48,-66.51,66.57,13.45,48442.0
尔康制药,775.1673,1595.1989999999998,2269.2432,2827.8852,489.7773,985.5489,1546.3265,,化学制药,湖南,20.11,13.69,20.63,604008.69,306427.69,173188.88,95633.38,0.46,0.14400000000000002,2.76,1.4,20110927.0,250058.77,1.21,-31.86,-46.33,43.12,19.26,26654.0
丽珠集团,2126.0327,4274.7584,6521.7448,8530.9686,2369.1235,4564.7035,6841.4359,,中成药,广东,18.36,4.58,7.19,1562270.13,1076168.75,322012.91,154675.42,2.15,1.307,14.88,2.15,19931028.0,787054.13,10.95,4.9,-77.86,62.64,13.74,44362.0
快克股份,76.0174,164.6085,267.5288,361.8555,99.8193,206.0785,316.9967,,专用机械,江苏,26.16,0.54,1.58,99325.68,83591.4,8943.28,37841.67,2.39,0.72,5.09,4.87,20161108.0,26927.33,1.7,18.49,19.86,55.66,35.49,9118.0
千禾味业,252.9738,480.4466,689.7587,948.1671,245.352,478.8395,746.0871,,食品,四川,26.47,1.35,3.26,182568.91,106681.21,40213.43,36938.15,1.13,0.53,3.91,4.81,20160307.0,53455.93,1.64,8.17,66.35,44.65,23.32,27412.0
航天信息,5487.1468,13537.3085,20493.6307,29754.4912,5471.3312,15577.1332,23105.9315,,电脑设备,北京,46.84,18.47,18.63,2006096.63,1549227.88,94419.8,41201.85,0.22,0.46,5.33,5.38,20030711.0,688315.63,3.7,12.75,-23.87,16.24,3.7,58714.0
国恩股份,333.0591,807.1157,1374.5141,2046.9325,584.0953,1418.2384,2340.9745,,塑料,山东,24.33,2.4,2.71,344166.66,252904.2,67960.1,92642.06,3.42,0.76,7.03,3.43,20150630.0,65191.76,2.4,70.31,50.54,17.93,8.63,9887.0
茂化实华,1115.8903,2201.5281,3308.1081,4407.6868,1021.8961,1979.5987,3119.1341,,石油加工,广东,69.89,3.66,5.2,131742.19,81304.18,36422.85,697.15,0.01,0.048,1.63,2.73,19961114.0,11639.75,0.22,-5.71,-67.07,4.55,0.8,37217.0
华锦股份,7781.9117,15616.5384,23624.0637,33713.7806,8132.6564,16278.4445,25369.9307,,石油加工,辽宁,7.65,15.99,15.99,2984538.5,1278351.38,1332116.25,620243.31,3.88,0.662,8.24,0.82,19970130.0,485417.09,3.03,7.39,-13.88,19.4,4.17,72358.0
利群股份,2916.2968,5366.9087,7762.0188,10553.7701,3075.2349,5624.0534,8296.3713,,百货,山东,14.75,4.75,8.61,1261482.63,560817.13,512889.5,176267.38,2.05,0.345,5.42,1.25,20170412.0,170764.13,1.98,6.88,8.38,22.2,3.58,50697.0
