name,roe2016_2,roe2016_3,roe2016_4,roe2017_1,roe2017_2,roe2017_3,roe2017_4,roe2018_1,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
三峡水利,5.1,8.17,9.43,1.95,5.44,7.68,12.5,0.97,水力发电,重庆,61.55,9.93,9.93,501384.59,108260.15,270286.0,77162.86,0.78,0.027000000000000003,2.79,2.4,19970804.0,89184.7,0.9,5.85,-44.61,16.32,10.32,61557.0
永创智能,5.1,8.03,9.9,1.87,4.25,6.11,6.97,1.46,专用机械,浙江,69.52,1.84,4.0,232263.52,165838.31,29273.84,16188.27,0.4,0.035,2.4,4.07,20150529.0,35550.12,0.89,21.56,-18.14,32.28,4.65,26057.0
润达医疗,5.09,8.56,5.49,1.54,,7.49,9.58,2.4,医药商业,上海,32.89,5.08,5.8,751824.56,420190.44,76247.8,102373.24,1.77,0.09699999999999999,4.04,3.17,20150527.0,69847.5,1.21,70.58,69.99,26.81,4.36,16696.0
重庆路桥,5.09,7.22,8.46,1.35,5.01,6.48,7.82,1.45,路桥,重庆,17.78,10.98,10.98,680043.63,140227.47,18558.65,5429.05,0.05,0.048,3.27,1.04,19970618.0,162217.05,1.48,-0.16,9.0,91.18,87.9,62436.0
哈药股份,5.09,7.97,,0.7,5.01,3.85,5.77,1.94,化学制药,黑龙江,18.69,24.93,25.45,1372631.38,919627.69,355743.78,77212.46,0.3,0.055,2.83,1.46,19930629.0,280679.44,1.1,-7.38,201.22,28.65,4.91,108240.0
华铭智能,5.09,7.18,8.79,0.86,3.43,4.58,7.69,4.48,专用机械,上海,29.75,0.68,1.38,82432.2,70815.61,6979.53,19802.05,1.44,0.2,4.47,5.33,20150527.0,24769.13,1.8,15.97,475.38,44.56,33.84,13628.0
利尔化学,5.09,6.87,10.24,2.78,6.83,10.34,16.89,4.63,农药化肥,四川,23.31,5.24,5.24,528028.06,228365.45,185764.55,81008.8,1.54,0.22,4.76,4.32,20080708.0,100464.11,1.92,72.18,98.58,30.59,12.78,21230.0
通用股份,5.08,5.28,6.72,1.14,2.54,4.2,5.68,1.23,汽车配件,江苏,51.11,1.75,7.27,412155.25,218581.91,128134.6,74228.81,1.02,0.045,3.62,2.52,20160919.0,100370.93,1.38,8.28,10.52,13.95,3.32,62591.0
古鳌科技,5.07,5.35,7.39,-3.09,-1.35,-0.56,2.84,-2.6,专用机械,上海,0.0,0.65,1.1,65781.31,55414.13,8572.61,22942.3,2.08,-0.121,4.65,3.3,20161018.0,18743.6,1.7,38.04,13.87,41.53,-61.74,12384.0
银河磁体,5.07,7.84,10.73,2.64,9.76,12.68,15.89,2.85,元器件,四川,30.88,2.27,3.23,130718.75,111168.71,16847.75,49620.26,1.54,0.11,3.87,3.53,20101013.0,30623.55,0.95,19.8,19.2,36.48,24.48,22923.0
闽东电力,5.07,7.41,1.72,0.11,3.68,6.31,1.01,-2.85,水力发电,福建,0.0,3.73,4.58,399915.66,97524.43,156185.66,164939.25,3.6,-0.136,4.75,1.22,20000731.0,4081.38,0.09,-62.82,-3537.75,5.03,-80.21,38797.0
华统股份,5.07,8.22,11.4,3.14,5.43,7.61,10.12,3.84,食品,浙江,24.79,1.47,2.68,171864.84,49112.71,72323.28,52063.93,1.94,0.174,4.54,3.81,20170110.0,48174.26,1.8,12.39,34.47,6.09,3.7,5267.0
掌趣科技,5.07,6.65,6.04,1.88,3.1,4.54,3.09,1.53,互联网,北京,22.74,27.01,27.58,980710.38,186747.5,3829.76,410900.69,1.49,0.048,3.12,1.39,20120511.0,168170.88,0.61,5.75,-18.71,57.38,27.25,199441.0
劲拓股份,5.07,7.37,12.13,1.83,6.89,10.98,16.23,3.85,专用机械,深圳,50.63,1.56,2.43,77577.43,55182.6,4674.26,4794.41,0.2,0.08199999999999999,2.13,7.81,20141010.0,21586.03,0.89,77.27,149.44,39.27,15.07,11289.0
东方明珠,5.06,7.45,11.07,1.59,4.56,3.8,8.11,1.56,影视音像,上海,21.86,26.27,26.41,3730572.5,2160731.75,257293.17,1220439.75,4.62,0.18,10.58,1.37,19930316.0,1178954.88,4.46,-24.49,1.72,32.19,15.62,155458.0
澳洋顺昌,5.06,8.45,10.81,3.24,6.92,,14.42,3.57,仓储物流,江苏,18.46,9.14,9.87,683806.19,363055.63,197140.38,34153.37,0.35,0.09,2.49,2.7,20080605.0,105521.4,1.07,39.99,40.7,23.83,9.87,67819.0
南京公用,5.05,5.5,8.04,1.92,2.78,3.71,5.99,2.32,供气供热,江苏,11.8,5.73,5.73,1091905.13,539990.38,289355.44,40569.8,0.71,0.102,4.39,1.1,19960806.0,137253.52,2.4,2.24,24.84,18.8,5.84,30301.0
皮阿诺,5.05,,22.99,0.98,4.02,7.73,11.3,1.4,家居用品,广东,63.74,0.53,1.55,128135.27,95899.56,16178.76,48790.2,3.14,0.084,5.95,3.59,20170310.0,24832.82,1.6,73.85,58.55,32.39,7.1,23956.0
