序号,code,name,现价,涨跌幅(%),涨跌,换手(%),成交量,市盈率,昨收,开盘价,最高价,最低价,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
1189,00464,建福集团,2.35,0.0,0.0,0.65,291.60万,--,2.35,2.36,2.45,2.29,-38.16百万港币,-20.93百万港币,-21.53百万港币,2.68百万港币,0
1190,01107,当代置业,1.26,0.0,0.0,0.01,31.20万,4.11,1.26,1.24,1.26,1.24,0,1358百万人民币,1083百万人民币,1340百万人民币,1167百万人民币
1191,01080,胜利管道,0.21,0.0,0.0,0.1,320.40万,--,0.20800000000000002,0.203,0.217,0.196,0,-294百万人民币,-265百万人民币,-345百万人民币,-232百万人民币
1192,00483,包浩斯国际,1.39,0.0,0.0,0.0,--,12.52,1.39,0.0,0.0,0.0,56.81百万港币,74.11百万港币,61.86百万港币,149百万港币,0
1193,01100,飞达控股,1.2,0.0,0.0,0.0,--,6.30,1.2,0.0,0.0,0.0,0,85.03百万港币,84.68百万港币,55.91百万港币,35.25百万港币
1194,00177,江苏宁沪高速公路,9.5,0.0,0.0,0.93,1139.63万,9.41,9.5,9.58,9.58,9.35,0,4724百万人民币,4403百万人民币,3512百万人民币,3467百万人民币
1195,01038,长江基建集团,60.15,0.0,0.0,0.06,162.62万,14.78,60.15,60.0,60.3,59.75,0,10928百万港币,10200百万港币,11650百万港币,32346百万港币
1196,00465,富通科技,0.94,0.0,0.0,0.0,--,--,0.94,0.0,0.0,0.0,0,15.98百万人民币,59.85百万人民币,65.1百万人民币,108百万人民币
1197,01000,北青传媒,2.4,0.0,0.0,0.0,--,--,2.4,0.0,0.0,0.0,0,-95.74百万人民币,-73.36百万人民币,-58.49百万人民币,-51.34百万人民币
1198,01076,博华太平洋,0.08,0.0,0.0,0.01,1010.00万,17.78,0.08,0.078,0.08,0.076,0,871百万港币,1097百万港币,-55.17百万港币,-1552百万港币
1199,00280,景福集团,0.43,0.0,0.0,0.0,1,--,0.435,0.0,0.0,0.0,-19.17百万港币,-79.17百万港币,-116百万港币,-146百万港币,0
1200,01069,中国农林低碳,0.05,0.0,0.0,0.15,1680.00万,--,0.054000000000000006,0.054000000000000006,0.054000000000000006,0.053,0,-18.8百万人民币,-52.74百万人民币,-61.77百万人民币,-90.43百万人民币
1201,01064,中华国际,0.27,0.0,0.0,0.02,12.00万,9.00,0.27,0.25,0.27,0.25,0,134百万港币,345百万港币,187百万港币,127百万港币
1202,01105,星岛,0.92,0.0,0.0,0.01,8.60万,19.29,0.92,0.92,0.93,0.92,0,64.88百万港币,44.38百万港币,56.27百万港币,139百万港币
1203,06099,招商证券,9.98,0.0,0.0,0.16,153.54万,15.01,9.98,9.88,10.06,9.85,0,7107百万人民币,5824百万人民币,0,0
1204,01070,TCL电子,3.91,0.0,0.0,0.32,755.81万,8.24,3.91,3.91,3.95,3.7,0,1050百万港币,296百万港币,285百万港币,621百万港币
1205,00469,凯普松国际,0.38,0.0,0.0,0.0,--,--,0.38,0.0,0.0,0.0,0,23.1百万人民币,34.37百万人民币,14.25百万人民币,-137百万人民币
1206,01073,浩伦农科,0.24,0.0,0.0,0.0,--,--,0.245,0.0,0.0,0.0,0,0,0,0,0
1207,01098,路劲,13.86,0.0,0.0,0.05,36.10万,5.31,13.86,13.68,13.9,13.42,0,5441百万港币,3245百万港币,1983百万港币,0
1208,00487,实德环球,0.28,0.0,0.0,0.01,58.00万,--,0.285,0.28,0.285,0.28,0,15.26百万港币,-52.99百万港币,-40.86百万港币,31.55百万港币
1209,00166,新时代能源,0.13,0.0,0.0,0.0,--,10.63,0.134,0.0,0.0,0.0,0,119百万港币,-197百万港币,-1708百万港币,-90.97百万港币
1210,01137,香港电视,2.62,0.0,0.0,0.09,74.00万,--,2.62,2.64,2.64,2.56,0,-204百万港币,-257百万港币,-812百万港币,-237百万港币
1211,01139,华多利集团,0.24,0.0,0.0,0.0,--,--,0.23800000000000002,0.0,0.0,0.0,0,-10.73百万港币,-12.85百万港币,-18.56百万港币,-22.31百万港币
1212,01046,寰宇国际金融,0.61,0.0,0.0,0.0,--,--,0.61,0.0,0.0,0.0,0,-112百万港币,-168百万港币,198百万港币,-18.47百万港币
1213,00462,天然乳品,2.2,0.0,0.0,0.0,--,--,2.2,0.0,0.0,0.0,0,0,0,-756百万港币,-64.83百万港币
